Type,Air temperature K,Process temperature K,Rotational speed rpm,Torque Nm,Tool wear min,Temp_Diff,Power
2,310,340,2800,70,250,30,196.0
0,298,308,1400,35,10,10,49.0
1,300,310,1500,50,230,10,75.0
2,305,315,1200,72,50,10,86.4
0,305,325,2500,65,200,20,162.5
1,295,305,1300,30,5,10,39.0
2,308,335,2600,68,220,27,176.8
0,296,306,1450,32,15,10,46.4
1,302,312,1600,55,180,10,88.0
2,300,310,1400,40,100,10,56.0
0,310,320,2200,60,150,10,132.0
1,298,308,1500,45,50,10,67.5
2,312,342,2900,75,255,30,217.5
0,295,305,1350,28,8,10,37.8
1,305,315,1700,58,210,10,98.6
2,298,308,1450,42,120,10,60.9
0,300,310,1550,48,80,10,74.4
1,296,306,1380,33,20,10,45.5
2,309,339,2700,72,240,30,194.4
0,297,307,1420,36,25,10,51.1
